Filename,Task_Folder,Ground_Truth,Pred_AMD,Pred_DR,Pred_GL,Is_Correct
data/Glaucoma/Test/data_07001.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07002.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07003.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07004.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07005.npz,Glaucoma,1,0,0,0,False
data/Glaucoma/Test/data_07006.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07007.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07008.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07009.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07010.npz,Glaucoma,0,0,0,1,False
data/Glaucoma/Test/data_07011.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07012.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07013.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07014.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07015.npz,Glaucoma,0,0,0,1,False
data/Glaucoma/Test/data_07016.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07017.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07018.npz,Glaucoma,1,1,1,1,True
data/Glaucoma/Test/data_07019.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07020.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07021.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07022.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07023.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07024.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07025.npz,Glaucoma,0,1,0,0,True
data/Glaucoma/Test/data_07026.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07027.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07028.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07029.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07030.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07031.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07032.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07033.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07034.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07035.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07036.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07037.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07038.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07039.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07040.npz,Glaucoma,0,0,0,1,False
data/Glaucoma/Test/data_07041.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07042.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07043.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07044.npz,Glaucoma,1,0,1,1,True
data/Glaucoma/Test/data_07045.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07046.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07047.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07048.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07049.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07050.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07051.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07052.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07053.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07054.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07055.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07056.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07057.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07058.npz,Glaucoma,1,0,0,1,True
data/Glaucoma/Test/data_07059.npz,Glaucoma,0,0,0,0,True
data/Glaucoma/Test/data_07060.npz,Glaucoma,1,0,0,1,True
